Date,Bitcoin,ISG,IFG,DFG,DSG,UFE,SP500,NASDAQ,SH300,N225,FTSE,GDAXI,FCHI,HSI,USDX,UYE,EUE,UJE,GUE,UDE,CNH
2017/3/1,3.711568883,2.580305708,2.572604618,2.603753763,2.496731045,2.170041712,2.303759654,2.193520861,2.057103564,2.699554479,2.931130069,2.729837281,2.83442989,1.81450441,2.146843123,0.50221191,2.0856787,2.588584637,2.453198617,1.852650851,1.372649185
2017/3/2,3.763506026,2.917575018,2.902687346,2.224418868,2.305183621,1.982693014,1.947348719,2.073414963,2.439290189,1.798326772,1.226513802,1.353827907,1.396170002,2.921822604,1.843861163,0.53095317,1.844712102,2.213949055,1.773537906,1.927464851,1.272974201
2017/3/3,3.290269675,2.584114037,2.548438887,2.272210621,2.450929677,1.983682042,1.411042934,1.747346135,1.683819325,2.441222568,1.498373635,1.790903584,2.514953775,1.795181527,2.266250548,1.003931725,2.600765976,2.24515886,2.097699246,2.148815673,1.876809084
2017/3/6,2.332291897,2.461756975,2.439583812,2.137613523,1.900810075,1.885736253,1.655003616,1.783238687,2.044328008,1.439668153,1.706778351,2.003520287,1.752029524,1.735503281,1.797379224,0.641003088,1.950754024,1.757481176,1.975187806,1.531804882,0.908497266
2017/3/7,4.182096267,2.560621011,2.526233427,2.00945288,1.894923511,1.995876931,1.537707659,1.882727376,1.538121652,1.235705664,1.492144111,1.636612313,2.049361819,1.931719208,1.47666428,0.358078892,1.563056058,1.454321317,2.066408481,1.530909624,0.901480453
2017/3/8,4.396055665,2.490268637,2.43849557,1.83346801,2.213525284,1.25547422,1.767833832,1.704265918,1.658391129,2.028820807,1.798758636,2.209104828,2.281630608,2.50663987,1.681537982,0.906888685,1.494851196,2.438940621,1.969112583,2.183416052,1.544669467
2017/3/9,4.011124326,2.285516426,2.244857498,2.175772537,2.465104245,2.085453147,1.95540328,2.074829617,2.250939317,1.645913798,2.43558278,2.327505356,2.422581039,2.360467902,1.812654579,1.117089488,2.290723504,1.925440922,1.750196806,1.485813747,1.84212437
2017/3/10,5.243721376,2.458510974,2.414908502,2.48564497,2.631347922,1.918846305,1.901175718,1.986032591,1.415093844,2.443853807,2.205181626,2.522398889,1.991438336,2.085421859,2.297413275,0.638033555,2.625722783,2.149234428,1.55138636,2.080833016,1.627535603
2017/3/13,2.945802055,2.17588541,2.136298572,2.503863308,2.833166587,-0.78573855,1.049367774,1.177621874,2.719542716,1.99077888,1.708334936,1.697595579,1.825152781,2.706979119,-1.037411219,0.844012957,-1.129445119,-0.431423541,-0.419197937,-0.668997255,-0.917634866
2017/3/14,3.11049395,2.342499761,2.314632192,1.332131673,2.756246894,1.540003087,1.616757099,1.726242528,1.700121915,0.797190259,1.989516551,1.937603309,2.385765741,1.975595443,1.648573541,0.455299789,1.917241284,1.916350179,2.375485513,1.580698309,0.894041261
2017/3/15,2.391422306,3.163374334,3.174680732,1.9390952,1.536845465,2.650845571,2.31890181,2.336625676,1.824149173,1.519340643,1.388881127,1.55944601,1.679268959,2.255319485,2.672355055,-0.072755517,2.697569054,2.851561882,2.72800242,2.800854588,2.340118772
2017/3/16,4.611000697,2.701329825,2.700460428,3.171413229,3.082701745,2.056352527,1.660313528,1.551086621,1.878835613,2.270496218,2.466028296,2.348461047,1.818860245,2.604655835,1.790810587,0.901668961,1.968785372,1.877778875,2.54025928,1.879769759,1.877533941
2017/3/17,4.396806444,1.99454801,1.947647828,1.979928926,1.811468446,1.667489142,1.358275341,1.462358741,2.745984309,1.25409096,1.925437619,2.248829563,2.120790856,1.943093082,1.34643658,1.107898152,1.80556128,2.250846003,2.041858949,1.864536193,1.419889413
2017/3/20,3.360793638,1.849058802,1.831274303,1.888965169,1.881222502,1.42146324,1.564619407,1.658536644,2.089797716,1.811370046,1.651970106,1.541464474,1.782408071,2.187015266,1.608940394,-0.002706143,1.751912299,1.511470749,2.236524548,1.781379068,1.458897358
2017/3/21,4.25881464,2.981677954,2.974411858,2.161080918,1.861817352,2.233551543,2.968105303,3.292311135,1.94518936,2.168752161,2.520626115,2.803219048,2.687048957,1.987833454,2.239684104,1.251361599,2.376334705,2.602951356,2.655743309,2.154208591,1.530413053
2017/3/22,4.741081982,1.960632995,1.957886645,2.462064969,2.431198127,2.033534596,2.017780898,2.160429888,2.328470094,2.242574068,2.482784837,2.093805843,2.474029117,2.102849235,1.48445523,0.742204265,1.650154507,2.396770363,2.021642838,2.045099023,1.144356336
2017/3/23,3.465488605,2.342353272,2.293534037,1.674865102,1.181600289,1.308302644,2.104073939,1.954850835,2.45753545,2.069358444,1.803488443,2.645883907,2.485671882,2.220025573,1.027910704,0.382736329,1.37045576,2.299606113,1.846505344,1.308546289,0.736540685
2017/3/24,4.816029631,2.381867219,2.34011105,2.223345223,1.935274433,2.105602618,2.304676849,2.308508827,2.533862443,2.645484376,1.503254696,1.930530994,1.687086933,2.005786573,1.705305972,0.667319561,1.819843246,2.184791714,1.619811118,1.282881196,1.031179964
2017/3/27,4.438955045,2.661433741,2.743460356,2.661882421,2.550735992,2.280768836,2.4106912,2.758130241,2.336621257,2.235126083,2.545510694,2.042198396,2.375696797,2.63876745,2.048887507,0.898484974,2.134317427,2.27807158,2.444175885,1.96431647,1.784040718
2017/3/28,3.701627135,2.309452249,2.298801731,1.741489333,1.58272266,2.501027979,2.547069144,2.46166656,1.929361851,1.687207628,2.303232307,2.376809345,2.197610727,1.395021997,2.060175802,0.372215272,2.072496963,2.36371422,2.66054638,1.654703198,1.446428584
2017/3/29,3.773106883,1.926313392,1.926691866,2.14891172,2.008802474,2.015195565,1.623776174,1.764562799,2.208314596,1.644940642,2.235412724,1.604863052,1.877515932,1.884673332,1.742410392,-0.105906796,2.225821278,1.833513049,2.213218774,1.927464851,1.442185168
2017/3/30,3.4797934,2.372554109,2.424108738,1.503883321,1.041096087,2.056653025,1.748844059,1.487943628,2.706366756,2.349130952,1.938137184,1.695047709,1.840040846,2.142726078,2.064652923,0.167651223,2.370897925,2.347066965,2.410918951,1.879769759,1.031238134
2017/3/31,3.96558554,2.329314204,2.341873542,2.178956024,2.261185159,1.444909791,1.324217154,1.620104362,2.13952871,2.899649733,1.985984455,2.05091585,2.512792951,2.365170189,1.538043788,1.177869921,1.701707393,2.278397193,2.44880671,1.990825036,1.194974365
2017/4/5,3.086932035,2.58882124,2.544802243,1.406437302,2.474820287,2.035496477,2.603869105,2.747261354,2.268704675,2.324961471,1.852234804,2.026141527,2.093858516,2.406831016,1.624663316,0.717242939,1.778527413,2.258261817,1.946057597,1.685023507,0.876447638
2017/4/6,4.128386465,2.20517192,2.171681207,2.3255821,1.971671038,1.568222388,2.005973246,1.87493664,1.976700431,2.790226231,2.448995945,2.453992223,2.830047297,2.088923353,1.498967302,0.414946222,1.779090294,2.164417443,1.602943437,1.529791678,0.659207565
2017/4/7,3.120423155,2.948124461,2.944325836,3.019913151,2.957491299,2.048471733,1.846918417,1.966382817,1.897265701,2.804117064,2.3165576,2.020747329,2.122541364,2.610628459,2.153113589,0.771759045,2.217512986,2.55352662,2.345890797,2.043379576,0.867584121
2017/4/10,2.393254094,2.302151459,2.28219521,2.760872379,2.780801904,1.352642457,1.979063749,2.109783457,1.912373834,1.682183437,1.245372297,1.866381373,1.900755451,1.545218447,1.514785207,0.391520581,1.41569643,2.066541768,1.763566962,2.208056729,1.556200331
2017/4/11,2.983268673,3.022216871,3.024414821,2.121883324,2.049361182,1.491281838,2.173821597,2.460137371,2.875990296,1.870542523,2.44140406,2.786374959,2.440377969,2.690655701,1.732388478,1.010235495,1.708474044,2.646448982,2.138077753,1.41880985,0.446374498
2017/4/12,2.293866778,2.622915239,2.611278847,2.740665513,2.809296125,2.049266968,1.730629586,1.999945318,2.104961046,2.173648449,2.120923863,2.422383581,2.393436473,2.71984746,2.129762115,0.347143942,2.239923273,2.267202192,1.845145989,2.175890773,1.293681157
2017/4/13,3.872531829,1.896856733,1.81694057,2.452486434,4.141765407,1.909037545,2.248999104,2.314213068,1.96807525,2.240830612,2.061602218,1.699463695,1.85122767,2.343389097,1.926157341,0.811887272,2.007085553,1.94579395,1.926691866,2.296566507,1.1799758
2017/4/14,3.410773494,1.390505596,2.245111806,1.647171198,1.570613787,1.357211405,2.176604413,2.180638111,2.587757383,2.731172905,2.688229697,2.184881177,2.401722262,2.567046344,1.001313472,0.049151281,1.033377112,1.977031821,1.221636014,0.915616702,0.491180235
2017/4/17,3.071587889,2.550473426,2.543358699,2.51239685,2.121782347,1.743970672,2.098633991,2.026619974,2.186496925,2.149635393,3.073027237,2.510866928,2.756350249,2.750559359,1.858749113,0.139948793,1.993191562,2.280122363,1.89783021,1.740118481,0.428538975
2017/4/18,3.120607549,2.528837551,2.509900736,2.128662582,2.827752561,2.38897427,1.91255253,1.821494368,2.167526271,2.441488089,3.352151188,2.756782075,3.018872321,2.906292793,2.380554989,0.371590726,2.383978048,2.273068994,3.566798267,2.023224763,0.862432319
2017/4/19,2.29175325,2.752893417,2.738627407,2.304413281,1.972624321,1.47543033,2.152900894,2.013629345,2.612398184,2.170208852,1.779268662,1.298542813,1.960719768,2.099381339,1.608781058,0.606838451,1.40358756,2.145590334,2.098133256,2.302428037,0.694213175
2017/4/20,3.412909878,1.892782035,1.863899282,2.083714163,1.477809748,1.789991611,2.301502678,2.19172623,2.113253695,1.852308448,1.602004153,2.345522197,3.167925646,2.408132913,1.707878997,0.500918661,2.012076244,2.09850435,1.918435081,1.298030064,0.383622178
2017/4/21,2.948949087,2.240065706,2.199667867,1.485699351,1.168996048,1.598693808,1.740386298,1.347075339,2.154793013,1.877133541,1.586584184,2.058122419,2.479254904,2.245721772,1.482605722,0.395016176,1.792101008,1.745921002,1.932561667,1.740559741,0.833176099
2017/4/24,3.651877641,2.413967228,2.535616013,2.883574703,2.607641835,2.235661696,1.326575885,1.328585676,2.898642841,1.451423907,3.23579023,2.739297017,2.68107357,2.470932818,1.99926311,0.275595178,2.357003468,2.260824545,1.807443082,2.25618731,0.788884077
2017/4/25,2.77626913,2.761557906,2.736939135,1.769416719,1.929628571,1.772733113,1.695421035,1.850607989,2.200133796,2.685396635,1.621745755,1.394727265,1.99394011,2.483720408,1.819292537,-0.380440468,2.354247594,2.817867263,1.864367559,2.398195267,0.383099287
2017/4/26,3.254652068,2.309685754,2.394683414,1.737237759,3.461225099,1.772733113,1.699218046,1.294829601,2.209803659,1.956952495,1.847570816,1.39742479,1.739112768,1.745224811,1.953809062,0.236161852,2.31314988,2.23343398,1.663327271,1.923594842,0.941481834
2017/4/27,3.523306238,2.120977088,2.131726107,1.806407721,1.583970792,1.625347982,1.51056059,1.290066275,2.813685255,1.588961284,2.3308324,1.553489891,1.322482039,2.505310979,1.807179886,0.235276761,2.156528512,1.797287353,2.060133538,2.469432856,0.392389712
2017/4/28,3.527830234,1.697538866,1.641701421,1.34973632,2.230010417,2.032425773,1.694033298,1.843108801,2.026673146,1.786325048,1.990325857,1.488570743,1.587714305,1.826248018,1.83065143,0.437266249,2.259798115,1.894118034,1.935241282,1.813805086,0.67466272
2017/5/2,3.834149936,1.787624938,1.734783061,1.234275813,1.579875624,1.848743943,1.22839608,1.38303912,1.776337217,2.034653679,2.079404545,1.966755086,1.927141033,2.212626472,1.271172357,-0.432032779,1.576796346,1.710640048,1.924312222,2.193034592,0.658307801
2017/5/3,3.565518587,3.011385401,2.980519529,1.236743866,1.859062337,1.920861992,1.578378143,1.500002676,2.281315633,2.19805516,1.608762243,1.607789576,1.424548873,2.096625164,1.181553774,0.195024609,1.755534598,2.13158255,2.022771256,1.614072651,0.404976967
2017/5/4,4.472567801,2.72326382,2.700509878,2.922563591,4.067707303,2.408736587,1.673496182,1.611734796,2.317427128,2.337073434,2.157044577,2.291555714,2.68192425,1.9649918,2.168375238,-0.432134283,2.473673117,2.026738655,2.187346775,1.874470721,0.109301284
2017/5/5,4.158605554,2.252897779,2.212404511,2.371062966,2.804008325,1.675954405,1.558365169,1.846797732,2.283475028,2.457886258,2.467945937,2.443342885,2.946724368,2.558210609,1.612984499,0.763710828,1.67408684,1.994670873,2.008190131,2.549627924,0.966428382
2017/5/8,4.471198416,2.697140271,2.698097836,1.677910346,3.123739544,2.612758761,1.270311654,1.468624139,2.470282505,2.56458739,1.748454138,2.223773396,2.668067019,1.934487587,1.90749067,0.20749238,2.406207524,2.219872186,1.686971524,2.043124674,0.630518292
2017/5/9,4.328343669,2.645572797,2.6050851,2.058299459,2.272186698,2.568055144,1.699468603,1.561458859,2.347407203,1.514459899,2.219213854,1.965759102,1.419686386,2.761824244,1.960856227,-0.312933499,2.011983172,2.494183819,1.655797907,1.938460759,0.620550954
2017/5/10,3.815309398,2.122985559,2.053981881,1.982998095,2.238595666,1.69936853,1.202756009,1.650687743,2.437660195,1.426940412,2.35006399,1.69387376,1.65571278,2.368804413,1.426455574,0.220589497,1.580009284,2.008380173,1.703347858,1.975609869,0.390666672
2017/5/11,4.31798167,2.382424458,2.316743234,1.64507874,1.67853846,1.634283859,1.904793671,2.125916883,2.777014713,1.570714126,1.433139541,2.298957208,2.43582605,2.100653714,1.540516049,-0.002416498,1.759575581,2.226851473,2.195861998,2.290344357,0.706579648
2017/5/12,4.653235506,1.979048961,1.906621985,1.857306314,2.017426882,2.406315605,0.924937445,1.184942085,2.563781974,2.029181304,2.117773999,1.629331075,1.852494004,1.733055818,1.822943482,-0.002170234,2.106334053,2.038783677,1.608146097,1.850900097,0.547890717
2017/5/15,4.219410608,2.348113112,2.290065062,2.003513831,2.042009773,1.963678147,1.576401537,1.664372129,1.621997155,2.0134983,1.38664202,2.222764581,1.943605554,2.056087309,1.70648806,0.640785506,1.963548587,1.971390318,1.690682261,2.327334357,0.97357125
2017/5/16,4.18562841,2.169113647,2.135497334,1.91229398,2.058044867,2.656729146,1.536264076,1.756643219,2.926610694,2.058923043,2.521610021,1.771976821,1.75776316,2.126060081,2.317240132,-0.017331621,2.557054353,2.175810341,2.079581531,1.969223697,1.199510844
2017/5/17,4.880976995,3.150685661,3.142539684,1.997253146,1.872398089,2.331050997,2.63032175,3.066058987,2.158949911,1.510687237,2.112517375,2.892867709,3.040914428,1.770477925,2.231543961,0.624319513,2.159821347,3.184138468,2.01959982,1.80400901,0.751293798
2017/5/18,4.098253931,2.901988618,2.870635299,2.273766435,2.590897036,2.061004657,2.41384384,2.67932878,2.173034006,2.188765864,2.870080394,2.579214942,2.906981581,2.3887549,2.172695507,0.675982642,2.313704041,2.741810529,2.618607296,2.03684511,1.105255124
2017/5/19,4.210288585,2.32097333,2.245931414,2.356105208,4.367925362,2.253524045,2.195709876,1.923912764,1.522052671,2.042155958,1.909596338,1.726427939,2.213215979,1.868229642,2.313557642,0.382402523,2.479636298,1.902042134,2.310411966,2.165497564,1.099504196
2017/5/22,5.024966629,2.348201885,2.307019096,1.772240845,1.912186775,2.180358268,1.410895844,1.98224781,2.408494554,1.805102563,1.982603359,2.199732933,1.650604188,2.422361015,2.044462499,0.371416503,2.355631717,1.940658533,1.929379746,1.577288488,0.735391359
2017/5/23,4.285557534,2.538349374,2.496851032,1.955181197,1.878043865,2.005592341,1.205170635,1.695121921,2.412358635,1.837700561,1.723955435,2.304590585,2.45875751,2.094637558,1.990010669,-0.000270512,2.252698559,2.317782438,1.955543966,1.770047874,0.111551968
2017/5/24,4.563687003,2.383018382,2.328145078,2.680121098,2.570583097,1.75212113,1.288545136,1.6079421,2.608700178,1.684935671,1.918193702,1.391825992,1.736860064,1.786241382,1.628550633,0.139164906,1.711443659,1.913456102,1.852494468,2.449900618,1.012398272
2017/5/25,5.385352458,1.805851977,1.681886436,2.118872847,2.000110311,1.601307604,1.627150336,2.071041562,3.245373433,2.026723845,1.607694966,2.638835864,2.236614462,2.13704018,1.566246128,1.340887518,1.763057649,1.574663352,1.993860127,2.212486503,1.764349387
2017/5/26,5.517223124,2.745153308,2.70666225,1.806584541,2.099047305,2.052472385,0.756080881,1.011389689,2.119074756,1.900877398,1.802830622,2.013050984,2.463679637,1.803574922,1.806098267,0.985200321,2.026258465,2.342734501,2.736993243,1.696716163,1.899752822
2017/5/31,4.44616637,2.595476415,2.594019084,1.902868283,1.84417667,2.396809504,1.776083996,2.373570495,2.57946617,1.594704409,2.317231873,2.439492579,2.399158735,2.013424204,2.016612551,1.968194235,2.198639066,2.036310679,2.608784633,2.002592316,2.772132906
2017/6/1,4.351656742,2.1652627,2.10856563,1.96241742,1.76408856,1.778339857,2.057989504,2.151585007,2.040698678,2.457903922,1.814506976,1.626904644,2.147834681,2.284743891,1.595177593,1.270518831,1.726715864,2.112200289,2.037143844,1.560514291,2.140587792
2017/6/2,3.996766385,2.934592308,2.937302685,1.875909381,1.986509235,2.463973493,1.775730825,2.307511268,2.218946192,2.745826648,2.191852068,2.556461115,2.262487405,1.680233609,2.052446513,1.152964554,2.112410353,2.661660428,1.660137836,1.738856408,2.011554859
2017/6/5,4.357200508,1.765816391,1.646505519,2.292888224,3.617171512,1.534892776,0.901595483,1.213303983,1.975214845,1.924915031,1.877438947,2.429350406,2.250994953,2.16596672,1.200030242,0.68015767,1.608534583,1.484796204,1.975033779,1.320834158,0.804017485
2017/6/6,4.826782328,2.733683604,2.698356605,2.288320746,3.109388083,1.633776293,1.339772769,1.835747893,2.370886368,2.462348743,1.332240336,2.282802182,2.042938941,2.249153131,1.336740417,0.42953426,1.500681603,2.608712777,1.93655713,1.450078177,1.623291328
2017/6/7,4.242827217,2.457942639,2.415980209,1.335864255,1.984143924,1.982103305,1.604257384,1.872110575,2.708964612,1.890323447,2.49401546,2.259338288,2.662486562,2.042977937,1.74629657,0.956576859,2.112677164,2.120415378,1.960636602,2.152102693,1.483757969
2017/6/8,4.101298878,2.798720688,2.779501799,2.004964935,1.677266326,1.963658123,1.676007108,2.013562012,2.401434622,2.248416923,1.807903655,1.614420084,2.160156668,1.868828747,1.910474919,0.249665501,2.023226787,2.346343749,1.840013576,1.172525805,1.225265893
2017/6/9,3.755477848,2.775841915,2.779286192,2.576164459,2.711739321,2.055973239,2.667382598,3.625301552,2.273368222,2.271165378,2.681352536,2.287048284,2.448140251,2.00146016,1.831383294,0.181133952,1.98447118,2.391364659,2.940308447,2.307334646,0.840201579
2017/6/12,5.297044751,1.898942199,1.81662074,1.300365727,2.227654685,1.125650292,1.594789655,2.614308933,2.493248121,1.860938373,2.163065421,2.350914844,2.436919545,2.479685929,1.223222915,-0.343633681,1.409820805,2.146389955,2.463551196,2.56029652,0.810098435
2017/6/13,4.06964123,2.245613318,2.253641083,1.630559706,1.974535619,1.556537308,1.570778636,2.14951296,2.09154146,1.506597825,1.996051786,1.726371363,1.719401361,1.966294827,1.392387053,-0.443658303,1.435093377,1.546239092,2.341301263,2.288699035,0.723659866
2017/6/14,5.108146668,3.122635589,3.124525697,2.260946289,2.067658145,2.420870212,1.982569085,2.744689232,2.583719072,2.015031475,2.379753279,2.470562193,2.746252169,2.197447317,2.262209407,0.514574548,2.352781784,2.757674251,2.155179154,2.22921751,1.224203874
2017/6/15,5.048726963,2.681688977,2.666360157,3.002565978,2.807123749,2.081503631,1.987250924,2.455233069,2.384440991,2.486893367,2.704022977,2.807938052,2.56916152,2.2250826,2.138436893,1.435790353,2.308682895,2.877671908,2.246869593,1.983465314,1.717997249
2017/6/16,4.279003077,1.709896737,1.596472971,1.819756741,1.729907818,1.295415213,1.580079387,1.907712517,1.95762772,2.015000195,2.217985779,1.596534712,2.107909101,1.982463281,1.710621688,0.78437968,1.89903864,2.067981762,1.633370304,1.728882847,1.69974008
2017/6/19,3.914908729,2.515369742,2.479099936,1.676297002,2.109783585,2.037358988,1.730138762,2.208503418,2.425564359,2.067278333,2.431049036,1.962826104,1.843640561,2.207408493,1.842627144,0.814083235,1.986615872,2.177903298,2.112697468,1.775401472,1.400446969
2017/6/20,4.310641936,1.934217666,1.863979543,1.679526296,2.121626591,1.622218415,1.88777693,2.163328183,2.056116868,1.637530968,2.602203328,2.500387857,2.29356225,2.225348731,1.637323604,1.01407242,1.577307382,1.607580058,2.647688732,1.985124951,0.944504742
2017/6/21,3.853840617,1.937113882,1.878686104,1.600741976,1.831653118,1.388148021,1.688847442,1.888305049,2.613887355,1.71191105,2.219744362,2.150265566,2.606041719,2.491425472,1.227660118,0.917661758,1.487821319,1.924565165,2.404296504,1.992402097,0.898134736
2017/6/22,3.550176931,2.209451549,2.175589837,2.513807461,2.278342916,1.328653403,1.369237081,1.882687075,2.847162977,1.559945038,2.038255518,2.077082031,2.460166066,2.490369732,0.938940136,0.295602764,1.414559101,1.670785712,1.262053068,2.427360797,0.632221469
2017/6/23,3.205692344,2.193973956,2.151264698,1.783081589,1.233656571,1.872877202,1.578636936,2.230051308,2.845410066,1.279928159,1.941398309,2.292630928,2.070184076,1.691800461,1.585632964,0.343471368,1.882952644,1.07825278,1.84411229,2.148335143,0.507664814
2017/6/26,4.7003885,3.01182647,3.030125402,1.589826562,1.311441243,1.796339138,1.838912071,2.551188717,2.648295504,1.482550591,2.16926323,2.07239609,2.000316636,1.93170375,1.438204064,0.61317889,1.614145588,2.050106337,1.601023348,1.665369201,1.41678882
2017/6/27,4.636655963,2.402018433,2.40145728,1.853891483,2.21410438,2.825465818,2.283646106,2.788852536,2.163674384,1.30437174,1.829044586,2.262275159,2.333849517,1.88882713,2.586105119,1.757964418,2.863827032,2.327455871,2.559241559,2.302229962,2.140014814
2017/6/28,3.988111076,2.086869965,2.111050722,1.638779202,1.788946932,2.094320449,1.952489342,2.852613751,2.178953857,1.868390777,2.292752247,2.504883851,2.731032771,2.166850761,2.06459063,0.6098462,2.324583484,1.789947016,2.76381577,2.790618241,1.240435799
2017/6/29,3.563231537,2.598418567,2.520324874,1.788097296,2.245264103,1.685172655,2.864165002,3.179334061,2.035944105,1.367806492,2.839186083,3.415547603,3.34844948,1.89882681,1.869234033,1.417883275,1.980104197,2.437220168,2.108005362,1.649323125,1.52519168
2017/6/30,3.606436708,2.135812116,2.139122569,2.091755084,2.198298832,1.749972494,1.65453156,2.049363236,1.99934099,1.722284037,2.457666979,2.567657729,2.817631555,1.932189955,1.465817212,1.436061834,1.691632199,2.180710674,2.004642362,1.764172109,1.845960354
2017/7/3,3.94765954,3.158101136,3.133446643,2.095561537,2.735263919,1.985633782,1.597887912,2.588882504,2.363867387,1.321537852,2.445379925,2.176886859,2.396688152,2.005672579,2.028420178,1.400823448,2.009169964,2.627560677,2.107234553,1.445024227,1.469503869
2017/7/4,3.464215777,1.868101248,1.728379542,1.997752561,2.560098279,1.50948754,1.706133756,2.531589274,2.408651473,2.556891274,1.985598923,1.868533564,1.956941032,3.271785371,1.272397526,0.167103743,1.421619758,1.995761308,1.428020852,2.2201449,0.85983943
2017/7/5,3.621998076,2.431679493,2.413614179,1.660544895,2.13855984,1.877111894,1.80400758,2.470713854,2.764586813,2.4316257,1.814652693,2.117320785,1.948501297,2.788212434,1.674227885,0.610096252,1.752509732,2.165176057,1.586444421,2.029482694,1.094692523
2017/7/6,2.738939268,1.945363941,1.975677226,2.204891727,2.189015459,1.983866985,2.064016857,2.15790255,2.460407147,2.018637605,2.398828215,2.780677219,2.696632294,1.991486184,1.902777401,0.274934996,2.281004238,1.780537437,1.735637037,1.703656597,0.705879809
2017/7/7,5.177615296,3.01834088,3.009327488,1.9390952,1.845870248,1.862339941,1.84932374,2.307391639,2.073256959,1.960747902,1.946971304,1.510228706,1.882751987,1.447826788,1.578937988,0.74625341,1.797781626,2.407962633,2.279480043,2.491270886,0.513456366
2017/7/10,4.626462515,2.379260278,2.345620038,2.916807754,3.140007157,1.699299464,1.526428609,2.219550569,2.112164417,1.789817865,1.918607549,1.957196695,1.951682306,2.572781704,1.107313158,-0.344310112,1.315274219,1.44123698,1.533261387,1.707678895,0.754184838
2017/7/11,4.040792995,2.267634197,2.217578008,2.007525895,2.1001024,2.160343716,2.057695792,2.243508354,2.847989548,2.004578856,2.551863023,2.412438542,2.418540054,2.73307163,1.901004902,0.395342492,2.296678321,2.066515418,2.146679667,1.673881858,0.85932497
2017/7/12,4.285143919,2.470818162,2.481628173,2.321068264,2.346064033,1.983659332,1.549203501,1.666218041,2.770487334,1.657337055,2.832850173,2.800693706,2.886257501,1.926704013,1.740593442,0.314301344,2.295891323,2.353545707,2.158557806,3.152214777,1.066942171
2017/7/13,3.705107666,2.10464838,2.018847115,1.777272125,1.927224575,2.174829767,1.275761934,1.710242756,2.47273695,1.93622393,1.332551549,1.743798257,2.116194821,1.723155193,1.71385069,0.639670105,2.169041019,1.908580759,1.896832865,1.504731714,0.951601979
